code_stock,year,predict_num,min_EPS,avg_EPS,max_EPS,avg_industry_EPS,min_RP,avg_RP,max_RP,avg_industry_RP
601021,2021,13,2.11,2.53,2.92,1.25,19.30,23.16,26.76,42.34
601021,2022,11,2.43,2.92,3.34,1.46,22.23,26.77,30.64,50.97
601066,2020,7,0.64,0.84,0.96,0.77,48.94,64.70,76.91,70.53
601066,2021,6,0.87,1.05,1.18,0.88,66.25,80.66,94.02,80.82
601066,2022,6,1.00,1.23,1.42,1.02,76.29,94.67,111.75,93.74
601088,2020,21,1.79,2.03,2.28,0.99,356.95,404.40,453.57,89.50
601088,2021,21,1.90,2.10,2.36,1.12,378.10,417.23,469.08,101.02
601088,2022,19,1.93,2.14,2.34,1.16,383.96,425.98,465.58,106.79
601108,2020,1,0.55,0.55,0.55,0.77,19.79,19.79,19.79,70.53
601108,2021,1,0.57,0.57,0.57,0.88,20.42,20.42,20.42,80.82
601111,2020,18,-0.59,-0.04,0.67,0.35,-86.27,-5.25,97.32,0.62
601111,2021,17,0.02,0.54,0.87,1.25,3.60,78.37,118.61,42.34
601111,2022,14,0.21,0.63,0.97,1.46,30.21,90.45,132.61,50.97
601117,2020,12,0.62,0.73,0.85,0.95,30.82,36.31,41.73,143.44
601117,2021,12,0.78,0.90,1.14,1.07,38.46,44.64,56.46,156.81
601117,2022,8,0.87,1.05,1.20,1.21,42.79,51.90,59.12,188.75
601138,2020,12,0.95,1.00,1.11,1.17,188.91,199.04,221.48,14.35
601138,2021,12,1.05,1.16,1.30,1.54,207.84,229.94,257.47,18.79
601138,2022,10,1.17,1.32,1.52,1.94,232.15,262.60,302.93,24.60
601155,2020,18,6.49,7.12,7.94,2.28,146.41,160.72,179.39,134.53
601155,2021,18,7.18,8.81,10.26,2.73,162.09,198.82,231.74,157.75
601155,2022,17,7.28,10.42,12.52,3.30,164.36,235.09,282.53,189.18
601162,2020,1,0.08,0.08,0.08,0.77,5.62,5.62,5.62,70.53
601162,2021,1,0.11,0.11,0.11,0.88,7.56,7.56,7.56,80.82
601162,2022,1,0.13,0.13,0.13,1.02,8.54,8.54,8.54,93.74
601166,2020,19,2.98,3.34,3.50,1.56,695.21,709.76,728.83,735.86
601166,2021,19,3.23,3.65,3.95,1.75,734.16,774.28,820.90,790.69
601166,2022,13,3.52,4.01,4.28,1.97,774.53,853.12,913.46,843.95
601169,2020,11,0.96,1.05,1.10,1.56,178.02,222.61,232.63,735.86
601169,2021,11,1.02,1.12,1.18,1.75,187.33,237.08,250.08,790.69
601169,2022,7,1.07,1.23,1.35,1.97,251.50,264.13,285.00,843.95
